number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.7734780167912724,2026-04-09 12:26:55.505692,2026-04-09 12:30:42.036909,0 days 00:03:46.531217,0.31203728088487304,5,776,6.387926357773329,0.060285631437218844,COMPLETE
1,0.7728606338643284,2026-04-09 12:30:42.055052,2026-04-09 12:32:21.342108,0 days 00:01:39.287056,1.416145155592091,4,329,6.41003510568888,0.09515184190867908,COMPLETE
2,0.7727765435771129,2026-04-09 12:32:21.346140,2026-04-09 12:35:04.751824,0 days 00:02:43.405684,0.36364993441420124,4,785,2.9110519961044856,0.08483766803598276,COMPLETE
3,0.7722968947412975,2026-04-09 12:35:04.759913,2026-04-09 12:36:52.400205,0 days 00:01:47.640292,0.5824582803960838,4,452,4.887505167779041,0.029791946750344786,COMPLETE
4,0.7698623310284681,2026-04-09 12:36:52.401968,2026-04-09 12:38:46.339324,0 days 00:01:53.937356,0.9121399684340719,6,369,4.297256589643226,0.013505263874802732,COMPLETE
5,0.772239515775591,2026-04-09 12:38:46.339324,2026-04-09 12:41:11.363856,0 days 00:02:25.024532,0.09290082543999545,7,400,6.331731119758382,0.02874462340995989,COMPLETE
6,0.7612396240215626,2026-04-09 12:41:11.365867,2026-04-09 12:43:10.034841,0 days 00:01:58.668974,1.9312640661491187,6,385,9.539969835279999,0.006238197136284725,COMPLETE
7,0.7671947128784815,2026-04-09 12:43:10.036855,2026-04-09 12:45:36.938730,0 days 00:02:26.901875,0.8803049874792026,7,452,7.158097238609412,0.006970173039936616,COMPLETE
8,0.7599294668756883,2026-04-09 12:45:36.938730,2026-04-09 12:49:47.994005,0 days 00:04:11.055275,0.5175599632000338,4,548,9.18388361870904,0.005620384401502775,COMPLETE
9,0.7729688552626034,2026-04-09 12:49:47.994005,2026-04-09 12:52:04.096733,0 days 00:02:16.102728,0.3697089110510541,6,456,5.920392514089517,0.02932064584848263,COMPLETE
10,0.7731135436352291,2026-04-09 12:52:04.096733,2026-04-09 12:56:35.529614,0 days 00:04:31.432881,0.030735474656208683,5,767,1.1616568805333802,0.05336056353459884,COMPLETE
11,0.7756950073296408,2026-04-09 12:56:35.529614,2026-04-09 12:58:27.139964,0 days 00:01:51.610350,0.00747395562636707,5,792,1.7702656156719,0.056426602511064516,PRUNED
12,0.7734866420662031,2026-04-09 12:58:27.141972,2026-04-09 13:02:21.677271,0 days 00:03:54.535299,0.03408411232359207,5,688,1.4672783827499007,0.05040926951440011,COMPLETE
13,0.7729487050476657,2026-04-09 13:02:21.677271,2026-04-09 13:03:23.076916,0 days 00:01:01.399645,1.2917128814064822,5,682,8.084995228701395,0.1479943681107784,COMPLETE
14,0.7735643432608773,2026-04-09 13:03:23.076916,2026-04-09 13:05:12.752009,0 days 00:01:49.675093,0.6952668609931651,5,645,3.6763517068970835,0.05311360968334325,COMPLETE
15,0.7762963069447838,2026-04-09 13:05:12.752009,2026-04-09 13:06:54.484091,0 days 00:01:41.732082,0.7309123293074237,5,647,3.294541172799487,0.016044497471399143,PRUNED
16,0.7732864668822002,2026-04-09 13:06:54.490018,2026-04-09 13:09:25.002313,0 days 00:02:30.512295,1.3764590239003986,6,625,2.5738672826126496,0.043112710737795705,COMPLETE
17,0.7756876721599346,2026-04-09 13:09:25.002313,2026-04-09 13:10:54.637266,0 days 00:01:29.634953,1.131483310170384,5,573,3.9992803661197254,0.01793833886507733,PRUNED
18,0.7765571293610625,2026-04-09 13:10:54.637266,2026-04-09 13:11:42.831491,0 days 00:00:48.194225,1.6409445063733836,6,709,2.049861757908841,0.09333274780668019,PRUNED
19,0.7756683205815648,2026-04-09 13:11:42.831491,2026-04-09 13:13:47.359577,0 days 00:02:04.528086,0.7011127845681865,4,581,1.0989027031939411,0.043112766211232605,PRUNED
20,0.7749621169815815,2026-04-09 13:13:47.360592,2026-04-09 13:14:54.675892,0 days 00:01:07.315300,0.1899454055675217,5,713,3.644511552059722,0.14859466197926527,PRUNED
21,0.7733605312088127,2026-04-09 13:14:54.677888,2026-04-09 13:17:34.097262,0 days 00:02:39.419374,0.3383961073537528,5,735,4.986869643390417,0.07572635171634537,COMPLETE
22,0.7736506205836166,2026-04-09 13:17:34.098944,2026-04-09 13:20:34.569720,0 days 00:03:00.470776,0.22305303794948306,5,652,7.045314042481372,0.060229497066451976,COMPLETE
23,0.7728677110129895,2026-04-09 13:20:34.571709,2026-04-09 13:23:59.607674,0 days 00:03:25.035965,0.21053930465305612,5,639,7.575425599677545,0.04166574868975572,COMPLETE
24,0.7737133565576846,2026-04-09 13:23:59.609684,2026-04-09 13:28:30.515785,0 days 00:04:30.906101,0.5532176200182951,6,603,8.162809857042157,0.02036960565884759,COMPLETE
25,0.7733735797016564,2026-04-09 13:28:30.516784,2026-04-09 13:33:26.682880,0 days 00:04:56.166096,0.5573530809239234,7,602,8.433540250884805,0.02047718311586136,COMPLETE
26,0.7729367869327332,2026-04-09 13:33:26.683888,2026-04-09 13:37:23.950652,0 days 00:03:57.266764,0.7668302263405571,6,530,8.915507162992627,0.0222701125539936,COMPLETE
27,0.7729465671590078,2026-04-09 13:37:23.952667,2026-04-09 13:39:51.781977,0 days 00:02:27.829310,1.084960313911735,6,511,9.963529751339994,0.010013203288967201,PRUNED
28,0.7739602458375369,2026-04-09 13:39:51.781977,2026-04-09 13:44:08.157070,0 days 00:04:16.375093,0.4998443609973364,6,671,7.206483783372338,0.03626221094562418,COMPLETE
29,0.7740500617346067,2026-04-09 13:44:08.157070,2026-04-09 14:23:08.115307,0 days 00:38:59.958237,0.4828226048693608,7,505,7.450471687608263,0.03608269681560653,COMPLETE
30,0.7740341381501193,2026-04-09 14:23:08.115307,2026-04-09 14:28:08.866117,0 days 00:05:00.750810,0.4948793773016655,7,519,8.069849795294852,0.0333375790156777,COMPLETE
31,0.7767350533016188,2026-04-09 14:28:08.866117,2026-04-09 14:29:43.399571,0 days 00:01:34.533454,0.4707330461607443,7,491,7.867564935123289,0.03510998914998214,PRUNED
32,0.7736076416495606,2026-04-09 14:29:43.399571,2026-04-09 14:32:31.801625,0 days 00:02:48.402054,0.6192908595080324,7,491,8.584629435225063,0.024297720767700443,COMPLETE
33,0.7739502198769337,2026-04-09 14:32:31.801625,2026-04-09 14:37:53.252395,0 days 00:05:21.450770,0.43603967718890135,7,597,6.859200655780427,0.03565682225294513,COMPLETE
34,0.773645779617345,2026-04-09 14:37:53.252395,2026-04-09 14:43:12.673228,0 days 00:05:19.420833,0.31368235414938883,7,530,6.88768824567644,0.03414886683788358,COMPLETE
35,0.7738627138825521,2026-04-09 14:43:12.673228,2026-04-09 14:45:58.375122,0 days 00:02:45.701894,0.4288258412934156,7,569,5.630442583373017,0.07679587929146348,COMPLETE
36,0.7764940985058002,2026-04-09 14:45:58.376799,2026-04-09 14:47:17.187857,0 days 00:01:18.811058,0.8209472726431701,7,315,6.395417444873012,0.03469826982162547,PRUNED
37,0.7766931801720411,2026-04-09 14:47:17.187857,2026-04-09 14:49:05.463690,0 days 00:01:48.275833,0.9933758466634341,7,481,7.631408206528126,0.012895420410933856,PRUNED
38,0.7767205672629534,2026-04-09 14:49:05.465716,2026-04-09 14:50:47.999824,0 days 00:01:42.534108,0.4356708699006658,7,418,7.224198320838148,0.028044984336346213,PRUNED
39,0.7767955776667305,2026-04-09 14:50:48.009483,2026-04-09 14:52:27.270181,0 days 00:01:39.260698,0.19647253027153222,7,426,6.706870573585118,0.03794322663463289,PRUNED
40,0.7770285706703054,2026-04-09 14:52:27.270181,2026-04-09 14:53:50.295059,0 days 00:01:23.024878,0.6229782091333544,7,350,6.014937226089305,0.02536577467473305,PRUNED
41,0.7766582367505273,2026-04-09 14:53:50.295059,2026-04-09 14:56:00.432371,0 days 00:02:10.137312,0.4373298199851459,7,569,5.054130875917161,0.07021727782551963,PRUNED
42,0.7766386640112615,2026-04-09 14:56:00.434384,2026-04-09 14:57:50.018230,0 days 00:01:49.583846,0.44751803571693183,7,546,5.649075896902282,0.12368297919340185,PRUNED
43,0.7765940632306373,2026-04-09 14:57:50.018230,2026-04-09 14:59:39.470545,0 days 00:01:49.452315,0.3737329172919893,7,604,5.438601699280377,0.07335872647570277,PRUNED
44,0.7769283479244234,2026-04-09 14:59:39.470545,2026-04-09 15:01:09.741544,0 days 00:01:30.270999,0.13312568556702914,6,521,6.508885136238806,0.10779631060687825,PRUNED
45,0.7735486408372857,2026-04-09 15:01:09.741544,2026-04-09 15:03:13.439754,0 days 00:02:03.698210,0.26855030687368575,7,470,7.41014528063703,0.04613906174160929,COMPLETE
46,0.7770581693701742,2026-04-09 15:03:13.439754,2026-04-09 15:06:55.012635,0 days 00:03:41.572881,0.6326657812080387,7,671,4.611541815196041,0.03144594841853012,PRUNED
47,0.7735343145259336,2026-04-09 15:06:55.014659,2026-04-09 15:09:59.413416,0 days 00:03:04.398757,0.8844227510538343,6,559,9.160550025775297,0.0669723472187954,COMPLETE
48,0.7762815628850734,2026-04-09 15:09:59.413416,2026-04-09 15:13:27.811635,0 days 00:03:28.398219,1.9965671723320058,7,620,6.0436555911410945,0.04774088450593875,PRUNED
49,0.7771081148724436,2026-04-09 15:13:27.814204,2026-04-09 15:16:46.196174,0 days 00:03:18.381970,0.491045735810019,7,506,5.3746096901919005,0.03863439981931278,PRUNED
50,0.7754883324726489,2026-04-09 15:16:46.196174,2026-04-09 15:17:41.782329,0 days 00:00:55.586155,0.3671710462618353,6,434,7.778949041600489,0.08547629181975258,PRUNED
51,0.7769507220350341,2026-04-09 15:17:41.782329,2026-04-09 15:20:48.371061,0 days 00:03:06.588732,0.5537919623206561,6,592,8.353776561741142,0.019056667907319826,PRUNED
52,0.7764050075249995,2026-04-09 15:20:48.372068,2026-04-09 15:23:33.501796,0 days 00:02:45.129728,0.6657581966060413,6,551,8.01281017009919,0.01495002163115712,PRUNED
53,0.7733442881696981,2026-04-09 15:23:33.502784,2026-04-09 15:27:37.246236,0 days 00:04:03.743452,0.7748790031891878,6,620,8.683426775179873,0.02682809273226169,COMPLETE
54,0.7759578570541295,2026-04-09 15:27:37.247221,2026-04-09 15:31:06.074724,0 days 00:03:28.827503,0.5807564385849803,7,665,7.2719801508321975,0.011995550269827347,PRUNED
55,0.7738453158920936,2026-04-09 15:31:06.076726,2026-04-09 15:35:26.072105,0 days 00:04:19.995379,0.08622462426465166,6,583,6.848748693655689,0.02325935150888384,COMPLETE
56,0.7740379716056441,2026-04-09 15:35:26.074102,2026-04-09 15:39:26.404780,0 days 00:04:00.330678,0.13722652568826582,7,762,6.824424435561164,0.030597312134167942,COMPLETE
57,0.7739170211691523,2026-04-09 15:39:26.407048,2026-04-09 15:44:09.244236,0 days 00:04:42.837188,0.11619549856107503,7,765,6.192998515508842,0.030345342708086195,COMPLETE
58,0.776829009822124,2026-04-09 15:44:09.244236,2026-04-09 17:10:12.369813,0 days 01:26:03.125577,0.2782060330846161,7,777,6.2681813860469635,0.0308635569591906,PRUNED
59,0.7738574797413548,2026-04-09 17:10:12.369813,2026-04-09 17:15:28.082886,0 days 00:05:15.713073,0.12107375876833233,7,742,6.644266016968717,0.030570277168080088,COMPLETE
60,0.7763648668224377,2026-04-09 17:15:28.082886,2026-04-09 17:18:52.512946,0 days 00:03:24.430060,0.034654636328210156,4,752,7.121359122499322,0.03976220222908479,PRUNED
61,0.7738183096893906,2026-04-09 17:18:52.514972,2026-04-09 17:22:29.149003,0 days 00:03:36.634031,0.40261423811763586,7,793,5.7560600717101345,0.05866488623792597,COMPLETE
62,0.7764318048535233,2026-04-09 17:22:29.157762,2026-04-09 17:25:38.212355,0 days 00:03:09.054593,0.27942334900833654,7,701,6.199557599590839,0.053037083254036395,PRUNED
63,0.7743818767983913,2026-04-09 17:25:38.212355,2026-04-09 17:30:37.566479,0 days 00:04:59.354124,0.17547048451034897,7,757,7.4877192353880115,0.03416498900601506,COMPLETE
64,0.773909649139297,2026-04-09 17:30:37.566479,2026-04-09 17:35:46.423626,0 days 00:05:08.857147,0.1041460295431783,7,760,7.771544749369892,0.03364994393372437,COMPLETE
65,0.7741584551469117,2026-04-09 17:35:46.423626,2026-04-09 17:55:33.947663,0 days 00:19:47.524037,1.6960947817135832,7,721,7.545759998993178,0.02760663428042249,COMPLETE
66,0.776582820885108,2026-04-09 17:55:33.949351,2026-04-09 17:59:48.612761,0 days 00:04:14.663410,1.728440986343463,7,721,8.21294937070418,0.026533698526712883,PRUNED
67,0.7730568527256422,2026-04-09 17:59:48.614783,2026-04-09 18:03:20.225176,0 days 00:03:31.610393,1.6609832650178236,7,698,7.413226282508226,0.045164415296794574,COMPLETE
68,0.7768839683046949,2026-04-09 18:03:20.226174,2026-04-09 20:33:59.642208,0 days 02:30:39.416034,1.118333774302134,7,728,7.005798520202289,0.020864889631135735,PRUNED
69,0.7740783457558181,2026-04-09 20:33:59.643208,2026-04-09 20:38:09.047736,0 days 00:04:09.404528,1.5310044212467857,7,800,8.783598648141151,0.036123459573172825,COMPLETE
70,0.7766597848767969,2026-04-09 20:38:09.048618,2026-04-09 20:41:48.733879,0 days 00:03:39.685261,1.8206352643415267,7,786,9.407757859445368,0.016629510087559328,PRUNED
71,0.773926629381397,2026-04-09 20:41:48.735881,2026-04-09 20:45:58.939925,0 days 00:04:10.204044,1.4101413127269973,7,747,8.729458667160015,0.038525294536166585,COMPLETE
72,0.7769010345538097,2026-04-09 20:45:58.940908,2026-04-09 20:49:16.134820,0 days 00:03:17.193912,1.3268354666132107,7,800,7.542535003166559,0.03516648704319944,PRUNED
73,0.7741151321847957,2026-04-09 20:49:16.137247,2026-04-09 20:53:37.192932,0 days 00:04:21.055685,1.514711590422575,7,774,7.997512170921181,0.041370669273396436,COMPLETE
74,0.7739312000399073,2026-04-09 20:53:37.193987,2026-04-09 20:58:02.821266,0 days 00:04:25.627279,1.5194560184795975,7,781,9.002833722856769,0.04176738294087147,COMPLETE
75,0.7774307886192078,2026-04-09 20:58:02.823317,2026-04-09 21:00:29.979963,0 days 00:02:27.156646,1.5263705520228092,7,768,7.909983428996143,0.049097600459823955,PRUNED
76,0.7737635109341333,2026-04-09 21:00:29.980920,2026-04-09 21:06:00.732366,0 days 00:05:30.751446,1.2345772305157343,7,735,9.876255874576472,0.02868556344576159,COMPLETE
77,0.7774084145085971,2026-04-09 21:06:00.733371,2026-04-09 21:10:14.212702,0 days 00:04:13.479331,1.5012182174546551,7,752,8.239803881141379,0.023681383716389982,PRUNED
78,0.776686213603828,2026-04-09 21:10:14.213698,2026-04-09 21:13:38.095324,0 days 00:03:23.881626,1.83828780562739,7,714,8.527976224571596,0.03217912742848147,PRUNED
79,0.7771830515559222,2026-04-09 21:13:38.097283,2026-04-09 21:17:28.283925,0 days 00:03:50.186642,1.5878570202964026,7,686,8.089236672019892,0.025442486906770312,PRUNED
80,0.7767566164889453,2026-04-09 21:17:28.283925,2026-04-09 21:20:41.008062,0 days 00:03:12.724137,0.9683371940456128,4,777,7.668245431347655,0.042049906770707614,PRUNED
81,0.7734710625097757,2026-04-09 21:20:41.010035,2026-04-09 21:25:01.724214,0 days 00:04:20.714179,1.7211051648722713,7,800,7.258555214200315,0.03663405140882802,COMPLETE
82,0.7772590203235805,2026-04-09 21:25:01.724214,2026-04-09 21:28:51.665371,0 days 00:03:49.941157,0.5179253796963682,7,764,6.940383045609972,0.028143065172854424,PRUNED
83,0.7743107612837211,2026-04-09 21:28:51.665371,2026-04-09 21:34:01.772823,0 days 00:05:10.107452,0.174128030925302,7,733,6.568024503306562,0.036287716342247235,COMPLETE
84,0.7771470391900792,2026-04-09 21:34:01.772823,2026-04-09 21:36:52.389840,0 days 00:02:50.617017,0.17537540422764075,7,732,6.565174683026511,0.052572057820198526,PRUNED
85,0.7772313014913248,2026-04-09 21:36:52.389840,2026-04-09 21:40:02.780662,0 days 00:03:10.390822,1.457371769852964,7,702,7.9461217620890245,0.04461787804932928,PRUNED
86,0.7739892179148681,2026-04-09 21:40:02.780662,2026-04-09 21:46:55.238953,0 days 00:06:52.458291,0.24880304116642885,7,752,7.424954876658549,0.021697943290794962,COMPLETE
87,0.7738925214566,2026-04-09 21:46:55.242417,2026-04-09 21:53:46.986875,0 days 00:06:51.744458,0.16932744841416808,7,756,7.482351814961626,0.022525417949768662,COMPLETE
88,0.7773496962908001,2026-04-09 21:53:46.987385,2026-04-09 21:58:49.509291,0 days 00:05:02.521906,0.219916551306932,7,738,8.73021025438121,0.021710971871620105,PRUNED
89,0.7771742051200958,2026-04-09 21:58:49.513227,2026-04-09 22:03:41.041956,0 days 00:04:51.528729,0.023886905292112404,7,718,8.372340909500487,0.01883567407865546,PRUNED
90,0.7766929958712947,2026-04-09 22:03:41.043970,2026-04-09 22:05:55.515139,0 days 00:02:14.471169,0.2565401502086204,7,785,8.999777759691726,0.06492408558447199,PRUNED
91,0.7739851387250147,2026-04-09 22:05:55.517146,2026-04-09 22:11:29.229889,0 days 00:05:33.712743,1.6009294053318068,7,771,7.272717036509619,0.03280064351233655,COMPLETE
92,0.7768732788614048,2026-04-09 22:11:29.229889,2026-04-09 22:14:40.727775,0 days 00:03:11.497886,1.6285674399636298,7,766,7.679844997527323,0.03383180132595554,PRUNED
93,0.7773439829676623,2026-04-09 22:14:40.728775,2026-04-09 22:16:07.789208,0 days 00:01:27.060433,1.5820827473401156,7,463,6.829826337667727,0.0322415596137786,PRUNED
94,0.7767968309118058,2026-04-09 22:16:07.790208,2026-04-09 22:17:39.151959,0 days 00:01:31.361751,1.7972793494486128,7,492,7.326273366467064,0.02921184801367372,PRUNED
95,0.7765499047718043,2026-04-09 22:17:39.153967,2026-04-09 22:20:37.866477,0 days 00:02:58.712510,1.8991333007983484,7,533,7.061920000412829,0.026069422107451237,PRUNED
96,0.7770207563186589,2026-04-09 22:20:37.868438,2026-04-09 22:24:08.157429,0 days 00:03:30.288991,1.729484875227935,7,745,8.015221894941513,0.04011590646872234,PRUNED
97,0.7771956945871239,2026-04-09 22:24:08.173320,2026-04-09 22:27:28.919678,0 days 00:03:20.746358,0.061552872150326315,7,775,6.710788786923045,0.03634008153544368,PRUNED
98,0.7771588344378477,2026-04-09 22:27:28.919678,2026-04-09 22:30:56.378328,0 days 00:03:27.458650,0.3182075216114384,7,514,7.523457985474229,0.02413390796630067,PRUNED
99,0.7736387270421168,2026-04-09 22:30:56.380341,2026-04-09 22:35:36.151335,0 days 00:04:39.770994,0.15687824856563415,7,726,6.392780801559402,0.007432574535375894,PRUNED
